case side   band(Hz)   n_h  FA_half FA_later FA_later_spd | n_f hit  hit_spd | lead1 lead3 lead_spd onset | gap(d) rpm_span  b
-- 案例 1: Roller, 故障侧 DS, 类型 1（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 0
   1 DS    10-288     122    0.03      nan         nan  | 117 0.01    0.00  |    51     -        -   120 | -243.4  107-1268  0.10
   1 FS    10-288     122    0.13     0.00        0.00  |                   |                            | -252.0  107-1269  0.12
-- 案例 2: Engine, 故障侧 DS, 类型 3（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 1
   2 DS    10-1000    124    0.16      nan         nan  |  94 0.38    0.38  |    89    84       89    89 | -212.8 1162-1162  0.00(定速,不扣)
   2 FS    10-1000    124    0.18     0.21        0.21  |                   |                            | -212.7 1162-1162  0.00(定速,不扣)
-- 案例 3: Roller, 故障侧 FS, 类型 1（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 0
   3 DS    10-230     117    0.02     0.24        0.23  |                   |                            | -283.9     11-39  0.25
   3 FS    10-230     119    0.13     0.00        0.00  |  41 0.24    0.15  |     7     7        3    42 | -283.9     11-39  0.13
-- 案例 4: Pump, 故障侧 FS, 类型 1（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 0
   4 FS    10-1000    122    0.02     0.50        0.34  |  18 0.33    0.33  |   120    74      120    16 | -241.5 1095-1161 -1.65
-- 案例 5: Pump, 故障侧 DS, 类型 2（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 0
   5 DS    10-1000     79    0.00     0.92        0.92  |  23 0.65    0.65  |   119   119      119     9 | -482.0 2447-2545  0.00(定速,不扣)
-- 案例 6: Pump, 故障侧 FS, 类型 1（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 0
   6 DS    10-1000    157    0.01     0.93        0.93  |                   |                            | -307.4 1170-1217  0.00(定速,不扣)
   6 FS    10-1000    160    0.01     0.00        0.00  | 170 0.00    0.00  |     -     -        -   106 | -307.4 1170-1216  0.00(定速,不扣)
-- 案例 7: Strainer, 故障侧 Upper, 类型 1（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 1
   7 Upper 10-1000    126    0.00     0.01        0.01  |  26 0.00    0.00  |    18     -       18     6 | -360.0   700-700  0.00(定速,不扣)
   7 Lower 10-1000    126    0.00     0.00        0.00  |                   |                            | -360.0   700-700  0.00(定速,不扣)
-- 案例 8: Pump, 故障侧 DS, 类型 3（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 0
   8 DS    10-1000    252    0.00     1.00        0.99  |  16 1.00    1.00  |   123   123      123     4 | -246.6 1096-1278  3.86
   8 FS    10-1000    238    0.03     1.00        1.00  |                   |                            | -246.6 1095-1273 -0.31
-- 案例 9: Agitator, 故障侧 DS, 类型 3（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 1
   9 DS    10-1000    477    0.00      nan         nan  | 205 0.00    0.00  |     -     -        -   121 | -611.7 1162-1162  0.00(定速,不扣)
   9 FS    10-1000    509    0.00     0.00        0.00  |                   |                            | -611.7 1162-1162  0.00(定速,不扣)
-- 案例 10: Engine, 故障侧 DS, 类型 3（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 0
  10 DS    10-1000    117    0.02      nan         nan  | 138 0.06    0.06  |   117     -      117   122 | -248.9   188-190  0.00(定速,不扣)
-- 案例 11: Engine, 故障侧 DS, 类型 0（0 正常 1 内圈 2 滚动体 3 外圈）, 定速 0
  11 DS    10-1000    127    0.00     1.00        1.00  |                   |                            |  326.5 1175-1185  0.00(定速,不扣)
  11 FS    10-1000    127    0.00     1.00        1.00  |                   |                            |  326.5 1174-1185  0.00(定速,不扣)
