== 前处理 band，触发 = 连续 ≥1 次谐波
case 故障侧 | 故障段触发 | 同期健康侧触发 | 健康段(train)触发=误报
   1 DS    |      0.03 | FS 0.12        |   0.10
   2 DS    |      0.98 | FS 0.91        |   0.53
   3 FS    |      0.10 | DS 0.12        |   0.10
   4 FS    |      0.83 | 无              |   0.07
   5 DS    |      0.61 | 无              |   0.06
   6 FS    |      0.77 | DS 0.16        |   0.11
   7 Upper |      0.96 | Lower 0.09     |   0.12
   8 DS    |      1.00 | FS 0.13        |   0.15
   9 DS    |      0.78 | FS 0.86        |   0.48
  10 DS    |      0.80 | 无              |   0.10
== 前处理 band，触发 = 连续 ≥2 次谐波
case 故障侧 | 故障段触发 | 同期健康侧触发 | 健康段(train)触发=误报
   1 DS    |      0.01 | FS 0.05        |   0.01
   2 DS    |      0.95 | FS 0.45        |   0.11
   3 FS    |      0.00 | DS 0.00        |   0.01
   4 FS    |      0.61 | 无              |   0.01
   5 DS    |      0.43 | 无              |   0.00
   6 FS    |      0.64 | DS 0.01        |   0.01
   7 Upper |      0.88 | Lower 0.00     |   0.01
   8 DS    |      0.94 | FS 0.00        |   0.02
   9 DS    |      0.52 | FS 0.78        |   0.34
  10 DS    |      0.67 | 无              |   0.01
== 前处理 cpw，触发 = 连续 ≥1 次谐波
case 故障侧 | 故障段触发 | 同期健康侧触发 | 健康段(train)触发=误报
   1 DS    |      0.06 | FS 0.13        |   0.08
   2 DS    |      0.11 | FS 0.29        |   0.11
   3 FS    |      0.05 | DS 0.06        |   0.08
   4 FS    |      0.28 | 无              |   0.15
   5 DS    |      0.48 | 无              |   0.04
   6 FS    |      0.22 | DS 0.07        |   0.11
   7 Upper |      0.04 | Lower 0.05     |   0.06
   8 DS    |      0.06 | FS 0.00        |   0.10
   9 DS    |      0.44 | FS 0.29        |   0.08
  10 DS    |      0.61 | 无              |   0.00
== 前处理 cpw，触发 = 连续 ≥2 次谐波
case 故障侧 | 故障段触发 | 同期健康侧触发 | 健康段(train)触发=误报
   1 DS    |      0.01 | FS 0.05        |   0.02
   2 DS    |      0.01 | FS 0.05        |   0.02
   3 FS    |      0.00 | DS 0.00        |   0.00
   4 FS    |      0.00 | 无              |   0.02
   5 DS    |      0.39 | 无              |   0.00
   6 FS    |      0.03 | DS 0.02        |   0.03
   7 Upper |      0.00 | Lower 0.00     |   0.02
   8 DS    |      0.00 | FS 0.00        |   0.00
   9 DS    |      0.08 | FS 0.20        |   0.01
  10 DS    |      0.18 | 无              |   0.00
