案例  1 fs=   640 转频≈ 18.8Hz BPFI≈  14.1Hz | 包络+边带   | 故障段 0.01 | 同期健康侧 FS 0.05    | 健康段误报 0.01
案例  1 fs=   640 转频≈ 18.8Hz BPFI≈  14.1Hz | 包络无边带   | 故障段 0.98 | 同期健康侧 FS 0.53    | 健康段误报 0.03
案例  1 fs=   640 转频≈ 18.8Hz BPFI≈  14.1Hz | 原始谱+边带  | 故障段 0.03 | 同期健康侧 FS 0.01    | 健康段误报 0.02
案例  1 fs=   640 转频≈ 18.8Hz BPFI≈  14.1Hz | 原始谱无边带  | 故障段 0.12 | 同期健康侧 FS 0.12    | 健康段误报 0.02
案例  3 fs=   512 转频≈  0.6Hz BPFI≈   7.7Hz | 包络+边带   | 故障段 0.00 | 同期健康侧 DS 0.00    | 健康段误报 0.01
案例  3 fs=   512 转频≈  0.6Hz BPFI≈   7.7Hz | 包络无边带   | 故障段 0.10 | 同期健康侧 DS 0.00    | 健康段误报 0.01
案例  3 fs=   512 转频≈  0.6Hz BPFI≈   7.7Hz | 原始谱+边带  | 故障段 0.02 | 同期健康侧 DS 0.02    | 健康段误报 0.00
案例  3 fs=   512 转频≈  0.6Hz BPFI≈   7.7Hz | 原始谱无边带  | 故障段 0.05 | 同期健康侧 DS 0.02    | 健康段误报 0.03
案例  4 fs=  8192 转频≈ 18.3Hz BPFI≈ 129.4Hz | 包络+边带   | 故障段 0.61 | 同期健康侧 无          | 健康段误报 0.01
案例  4 fs=  8192 转频≈ 18.3Hz BPFI≈ 129.4Hz | 包络无边带   | 故障段 1.00 | 同期健康侧 无          | 健康段误报 0.01
案例  4 fs=  8192 转频≈ 18.3Hz BPFI≈ 129.4Hz | 原始谱+边带  | 故障段 0.00 | 同期健康侧 无          | 健康段误报 0.02
案例  4 fs=  8192 转频≈ 18.3Hz BPFI≈ 129.4Hz | 原始谱无边带  | 故障段 0.00 | 同期健康侧 无          | 健康段误报 0.02
案例  6 fs=  6400 转频≈ 19.7Hz BPFI≈ 139.2Hz | 包络+边带   | 故障段 0.64 | 同期健康侧 DS 0.01    | 健康段误报 0.01
案例  6 fs=  6400 转频≈ 19.7Hz BPFI≈ 139.2Hz | 包络无边带   | 故障段 0.95 | 同期健康侧 DS 0.02    | 健康段误报 0.02
案例  6 fs=  6400 转频≈ 19.7Hz BPFI≈ 139.2Hz | 原始谱+边带  | 故障段 0.03 | 同期健康侧 DS 0.14    | 健康段误报 0.08
案例  6 fs=  6400 转频≈ 19.7Hz BPFI≈ 139.2Hz | 原始谱无边带  | 故障段 0.04 | 同期健康侧 DS 0.17    | 健康段误报 0.09
